,country,cases
1309,Spain,0
1310,Sri Lanka,0
1311,Sudan,0
1312,Suriname,0
1313,Sweden,0
1314,Switzerland,0
1315,Syria,0
1301,Sierra Leone,0
1215,Guatemala,0
1282,Papua New Guinea,0
1213,Greece,0
1115,Burundi,0
1116,Cabo Verde,0
1117,Cambodia,0
1118,Cameroon,0
1119,Canada,0
1120,Canada,0
1121,Canada,0
1122,Canada,0
1123,Canada,0
1124,Canada,0
1125,Canada,0
1126,Canada,0
1127,Canada,0
1128,Canada,1
1114,Burma,0
1129,Canada,0
1131,Canada,0
1132,Canada,0
1133,Canada,0
1134,Central African Republic,0
1135,Chad,0
1136,Chile,0
1137,China,60
1138,China,68
1139,China,75
1140,China,35
1141,China,7
1142,China,111
1143,China,36
1144,China,5
1130,Canada,0
1145,China,22
1113,Burkina Faso,0
1111,Brunei,0
1081,Albania,0
1082,Algeria,0
1083,Andorra,0
1084,Angola,0
1085,Antigua and Barbuda,0
1086,Argentina,0
1087,Armenia,0
1088,Australia,0
1089,Australia,3
1090,Australia,0
1091,Australia,0
1092,Australia,0
1093,Australia,0
1094,Australia,1
1112,Bulgaria,0
1095,Australia,0
1097,Azerbaijan,0
1098,Bahamas,0
1099,Bahrain,0
1100,Bangladesh,0
1101,Barbados,0
1102,Belarus,0
1103,Belgium,0
1104,Belize,0
1105,Benin,0
1106,Bhutan,0
1107,Bolivia,0
1108,Bosnia and Herzegovina,0
1109,Botswana,0
1110,Brazil,0
1096,Austria,0
1146,China,13
1080,Afghanistan,0
1147,China,15
1183,Diamond Princess,0
1184,Djibouti,0
1185,Dominica,0
1186,Dominican Republic,0
1187,Ecuador,0
1188,Egypt,0
1189,El Salvador,0
1190,Equatorial Guinea,0
1191,Eritrea,0
1192,Estonia,0
1193,Eswatini,0
1194,Ethiopia,0
1214,Grenada,0
1196,Finland,0
1182,Denmark,0
1197,France,0
1199,France,0
1200,France,0
1201,France,0
1202,France,0
1203,France,0
1204,France,0
1205,France,0
1206,France,0
1207,France,3
1208,Gabon,0
1209,Gambia,0
1210,Georgia,0
1211,Germany,0
1212,Ghana,0
1198,France,0
1181,Denmark,0
1195,Fiji,0
1179,Czechia,0
1180,Denmark,0
1149,China,8
1150,China,1058
1151,China,69
1152,China,7
1153,China,33
1154,China,36
1155,China,4
1156,China,21
1157,China,5
1158,China,4
1159,China,1
1160,China,22
1161,China,46
1162,China,40
1148,China,83
1164,China,44
1163,China,9
